DATAFLOW,LAST UPDATE,freq,vehicle,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRAN_R_VEHST(1.0),19/07/22 23:00:00,A,TOT_X_TM,NR,AT32,2003,295100,
ESTAT:TRAN_R_VEHST(1.0),19/07/22 23:00:00,A,TOT_X_TM,NR,AT32,2004,299200,
ESTAT:TRAN_R_VEHST(1.0),19/07/22 23:00:00,A,TOT_X_TM,NR,AT32,2005,283300,
ESTAT:TRAN_R_VEHST(1.0),19/07/22 23:00:00,A,TOT_X_TM,NR,AT32,2006,286700,
ESTAT:TRAN_R_VEHST(1.0),19/07/22 23:00:00,A,TOT_X_TM,NR,AT32,2007,310600,
ESTAT:TRAN_R_VEHST(1.0),19/07/22 23:00:00,A,TOT_X_TM,NR,AT32,2008,314800,
ESTAT:TRAN_R_VEHST(1.0),19/07/22 23:00:00,A,TOT_X_TM,NR,AT32,2009,320000,
ESTAT:TRAN_R_VEHST(1.0),19/07/22 23:00:00,A,TOT_X_TM,NR,AT32,2010,328000,
ESTAT:TRAN_R_VEHST(1.0),19/07/22 23:00:00,A,TOT_X_TM,NR,AT32,2011,334000,
ESTAT:TRAN_R_VEHST(1.0),19/07/22 23:00:00,A,TOT_X_TM,NR,AT32,2012,339000,
ESTAT:TRAN_R_VEHST(1.0),19/07/22 23:00:00,A,TOT_X_TM,NR,AT32,2013,348000,
ESTAT:TRAN_R_VEHST(1.0),19/07/22 23:00:00,A,TOT_X_TM,NR,AT32,2014,351350,
ESTAT:TRAN_R_VEHST(1.0),19/07/22 23:00:00,A,TOT_X_TM,NR,AT32,2015,356751,
ESTAT:TRAN_R_VEHST(1.0),19/07/22 23:00:00,A,TOT_X_TM,NR,AT32,2016,363143,
ESTAT:TRAN_R_VEHST(1.0),19/07/22 23:00:00,A,TOT_X_TM,NR,AT32,2017,369849,
ESTAT:TRAN_R_VEHST(1.0),19/07/22 23:00:00,A,TOT_X_TM,NR,AT32,2018,377512,
ESTAT:TRAN_R_VEHST(1.0),19/07/22 23:00:00,A,TOT_X_TM,NR,AT32,2019,383005,
ESTAT:TRAN_R_VEHST(1.0),19/07/22 23:00:00,A,TOT_X_TM,NR,AT32,2020,387461,
